function,shifting_vector
f11_schwefel_2_26,64.424217139870251 -9.7634603381634406 42.808927325192371 94.938877371120014 13.85149276970705 -5.6427262148176993 41.633402861311879 -12.545438114418104 79.84389198381939 65.170893350610953 -6.2326559056268422 -91.02115550316428 -24.585760594033303 46.676447358133487 -2.953689769343228 15.605182916107708 -37.178675691128205 -68.033103861251874 -30.895251530714418 -7.1703560857290682 -85.141710544201345 -7.4036768382527356 47.181305742126028 10.163424291461837 -88.779890866729929 -37.402108028073286 -62.516445684224344 50.302963080359689 50.193605192263874 -43.533994755377179
f12_styblinski_tang,37.416105501948493 -94.831204084237015 -31.08950825084176 -76.197835187549515 47.853991498074578 -22.575055603378914 9.5916974580398886 -21.924887687743905 51.780245260442285 -67.287719747949751 82.791216032945357 81.867397769243752 -6.7997148888806436 41.766104622406118 -53.849717763973757 22.010205863418136 -13.304730483347086 12.924834648317869 79.505815557187503 -55.599415310342003 -1.8902771165568879 95.61987642965596 -37.829442232030374 -74.036056046279896 14.921511744022581 22.459311290659372 -71.886383214380984 11.714354833873912 -19.479739628022202 -59.576589116335697
f13_michalewicz,-79.833485113856966 68.269323654382163 65.156645642510171 54.177113036953955 71.298217362489709 54.44342035497084 -33.54227362815891 -78.276495407354531 90.007347682957601 88.802022632755353 34.095605389761857 26.582159924193576 17.049858819528893 18.555758294473932 -7.9598635497278565 9.7206429226551592 -58.713611440577807 86.133860999793029 -2.8975159568145585 -65.968352134624467 -73.245546555733895 -91.698773778012011 -52.691223484450987 98.501159919088906 62.553730635416372 48.012574852806267 -20.697661755021613 87.84262131885535 -98.753895160366937 -62.090275504869986
f14_alpine_1,-83.133871636943496 -95.300276513619252 -34.257932155207953 -29.978991008161643 -22.462306403227061 -33.074733691666026 -59.800290512876096 64.202639070042608 68.359939182355021 -15.352514275621431 47.813273839701026 -80.147756223739506 19.315124897742749 58.729689665139261 -19.522527058830391 81.614435473287415 -20.769549829511689 -58.786393300411447 -61.310170474822279 -91.677043627196909 -4.2385690816810921 -80.046787535160462 -68.609394994346331 -16.074299879308569 -82.739105562723765 37.661686866703292 -26.593064466689171 -60.712816514064485 0.31736615605430529 -6.308142554194248
f15_happy_cat,50.797817208271397 -91.132594339852886 -99.634445851804927 63.143343163369082 18.89580148281307 85.258913320083394 97.631700945409449 -7.6078670279460852 51.332960474101043 -8.1328666623592198 87.300129833504997 -27.751216739448466 19.829396954936257 -88.198083107813289 -15.621615266835278 66.463376705218735 14.979500095577379 91.335693684277771 -65.114885277078201 -86.385130491930369 99.451267895719809 -23.450374387336126 40.616500610331599 -55.716718584003978 34.747572980242552 88.753620576836596 86.88975131841184 -96.035592290031019 25.55346182039284 65.237515791929127
f16_hgbat,-64.351970222098089 86.230560353737729 -46.054658066341744 10.434059368032806 2.1246727791733662 -25.422809736290716 -73.883762894068795 -41.089125102004957 80.157167771984746 -21.90016759261853 94.123615050658458 8.7006397086755669 95.139390380154992 68.399767334626461 -26.846137164690091 -64.890724267120262 -82.029565112116671 11.951336246308713 17.864644325366513 8.1862071549272457 80.702202702947773 -17.960531048055202 41.056512408970377 70.442722425952411 14.300527011908542 -97.369968655652102 -4.8695177592312291 -26.845234833388787 45.917776069302874 85.258060628370657
f17_bent_cigar,76.566580606971911 58.994317147355332 -22.609491652374444 15.582838233060656 -48.540670635253292 59.601648356424704 -1.9461156157836115 71.376170220607236 -22.721601752352257 -72.290975717607139 44.499538746464566 42.129951952367804 77.38293882593166 -65.091834249377541 -93.221436820449881 -69.710165798684386 43.735485937841986 38.066166389058253 -30.8359849521662 -25.505439418360098 45.815334961318342 3.5909888518263529 -26.056383907193222 14.982435682058792 71.688427165010523 -89.018777423495195 -2.6766486263352505 39.615195529702703 -44.475637335654653 -0.47978503888597857
f18_discus,14.444715236768928 -95.326800757851871 -22.301491146726221 22.586417759602242 -29.244357091444968 -80.237243571861256 39.272379417016907 11.964325162739158 -97.923244540583383 69.379766173409024 -18.823239266561444 -84.194620007265257 85.592115037619664 70.171248761544291 -28.186843130255596 -64.919362867474121 33.387813559824821 -98.697471496774284 44.461531475005529 43.524799578999392 90.948932873365663 57.08434916968767 -27.818337135221057 -51.534069593777062 -34.763520702663087 89.856610605565209 -7.7415915615528093 -72.072045231870803 -67.561558938208464 -57.599900334051867
f19_penalized_1,-19.469095401033769 -98.449964069798142 -86.217587419553524 -23.306576558833598 83.743025055498606 10.153535667018218 36.947738949400531 -6.8529389977156399 21.438505716597959 -9.6614410087254328 -96.456635313135592 98.746287118396651 34.874892438975849 -9.1988961884542846 19.996683659079295 60.631887683097432 -94.847068551130093 -88.265671058397572 -75.274045001771526 -97.481295420850117 -78.6033384218413 41.597547330814194 -43.297449746746608 -15.584289960784886 -31.002028626091288 5.5313909231913954 24.128866298377758 48.881609370032123 79.292686299720799 -60.802680131110939
f20_zakharov_2,-3.5529780920720242 62.296735464735121 84.405739581674823 65.997797655101579 -4.9457450882144798 69.202412217905987 -59.284444514338695 -80.966199014472636 92.297701552761879 68.178847116179242 96.967309303508642 -34.736927465861527 63.076278532008757 -39.276952512158992 39.220718496934069 -42.325671520771976 10.572545569921914 42.642546339515462 41.582124292623433 -15.350798040454634 -18.30597476740121 92.285918588259648 -71.880196685250922 -57.524944687201774 -36.074082345839528 -0.28611613151305448 4.2245221433133935 94.440192629670378 -84.865267530550199 -48.924174476222525
